"code","name","requirement_type","semester","start_year","end_year","semester_season"
"IB900ui","Szakdolgozat készítése 1.","Gyakorlati jegy","2020/21/2","2020","2021","spring"
"IMN602G1","Szakdolgozat és Diplomamunka I.","Gyakorlati jegy","2020/21/2","2020","2021","spring"
"IB370G","Szkriptnyelvek gyak.","Gyakorlati jegy","2018/19/1","2018","2019","fall"
"IB611g","Rendszerfejlesztés II. gyak.","Gyakorlati jegy","2017/18/2","2017","2018","spring"
"IMN249L","Szoftverfejlesztés gyak.","Gyakorlati jegy","2012/13/2","2012","2013","spring"
"I611l","Rendszerfejlesztés II. gyak.","Gyakorlati jegy","2013/14/2","2013","2014","spring"
"I103g-00004","Programozás alapjai gyak.","Gyakorlati jegy","2012/13/1","2012","2013","fall"
"IB611uiG","Rendszerfejlesztés II.","Gyakorlati jegy","2021/22/2","2021","2022","spring"
"IB985","Szakdolgozat készítése 2. BSc (mi)","Gyakorlati jegy","2022/23/1","2022","2023","fall"
"IB3001G","Szakdolgozat készítése 2.","Gyakorlati jegy","2022/23/1","2022","2023","fall"
"IMN552G-00001","Diplomamunka készítése II. (GI)","Gyakorlati jegy","2022/23/1","2022","2023","fall"
"IB985g","Szakdolgozat és Diplomamunka II.","Gyakorlati jegy","2022/23/1","2022","2023","fall"
"IB970","Szakdolgozat készítése 1. BSc (gi)","Gyakorlati jegy","2022/23/1","2022","2023","fall"
"IMN502G-00001","Diplomamunka készítése I. (GI)","Gyakorlati jegy","2022/23/1","2022","2023","fall"
"IML311E-00001","L Operációs rendszerek az iskolában ea. MSc.","Kollokvium","2021/22/1","2021","2022","fall"
"IB901vm","Szakdolgozat készítése 2.","Gyakorlati jegy","2021/22/1","2021","2022","fall"
"IMN552G-00001","Diplomamunka készítése II. (GI)","Gyakorlati jegy","2021/22/1","2021","2022","fall"
"IB985-00001","Szakdolgozat és Diplomamunka II.","Gyakorlati jegy","2021/22/1","2021","2022","fall"
"IB901ui","Szakdolgozat készítése 2.","Gyakorlati jegy","2020/21/2","2020","2021","spring"
"IML5022miG","Diplomamunka készítése II. gy.","Gyakorlati jegy","2020/21/2","2020","2021","spring"
"IB611uiG","Rendszerfejlesztés II.","Gyakorlati jegy","2020/21/2","2020","2021","spring"
"IB611g","Rendszerfejlesztés II. gyak.","Gyakorlati jegy","2020/21/2","2020","2021","spring"
"IML5021miG","Diplomamunka készítése I. gy.","Gyakorlati jegy","2021/22/1","2021","2022","fall"
"IB900ui","Szakdolgozat készítése 1.","Gyakorlati jegy","2021/22/1","2021","2022","fall"
"IB950","Szakdolgozat készítés 1. (pti2)","Gyakorlati jegy","2021/22/1","2021","2022","fall"
"IB3000G","Szakdolgozat készítése 1.","Gyakorlati jegy","2021/22/1","2021","2022","fall"
"IMN502G","Szakdolgozat és Diplomamunka I.","Gyakorlati jegy","2021/22/1","2021","2022","fall"
"IMN311E","Operációs rendszerek az iskolában","Kollokvium","2020/21/2","2020","2021","spring"
"IB901ui","Szakdolgozat készítése 2.","Gyakorlati jegy","2021/22/2","2021","2022","spring"
"IB901vm","Szakdolgozat készítése 2.","Gyakorlati jegy","2021/22/2","2021","2022","spring"
"IMN311L","Operációs rendszerek az iskolában gyak","Gyakorlati jegy","2021/22/2","2021","2022","spring"
"IB980","Szakdolgozat készítése 1. BSc (mi)","Gyakorlati jegy","2021/22/2","2021","2022","spring"
"IBML3000","Diplomamunka készítése I.","Gyakorlati jegy","2021/22/2","2021","2022","spring"
"IB370G","Szkriptnyelvek gyak.","Gyakorlati jegy","2019/20/1","2019","2020","fall"
"IB370uiL","Szkriptnyelvek gyak.","Gyakorlati jegy","2019/20/1","2019","2020","fall"
"IMN311L","Operációs rendszerek az iskolában gyak","Gyakorlati jegy","2019/20/2","2019","2020","spring"
"IMN311E","Operációs rendszerek az iskolában","Kollokvium","2019/20/1","2019","2020","fall"
"IMN501","Szakdolgozat és Diplomamunka I.","Gyakorlati jegy","2020/21/2","2020","2021","spring"
"IL611l-00001","L Rendszerfejlesztés II. gyak.","Gyakorlati jegy","2017/18/2","2017","2018","spring"
"IML311L","L Operációs rendszerek az iskolában lab. gyak. ","Gyakorlati jegy","2017/18/1","2017","2018","fall"
"IB611g","Rendszerfejlesztés II. gyak.","Gyakorlati jegy","2013/14/2","2013","2014","spring"
"IB611g","Rendszerfejlesztés II. gyak.","Gyakorlati jegy","2014/15/2","2014","2015","spring"
"IMN5022miG","Szakdolgozat és Diplomamunka II.","Gyakorlati jegy","2022/23/1","2022","2023","fall"
"IML5021miG","Diplomamunka készítése I. gy.","Gyakorlati jegy","2022/23/1","2022","2023","fall"
"IB900ui","Szakdolgozat készítése 1.","Gyakorlati jegy","2022/23/1","2022","2023","fall"
"IB980-00001","Szakdolgozat és Diplomamunka I.","Gyakorlati jegy","2022/23/1","2022","2023","fall"
"ITN311MKE","Operációs rendszerek az iskolában","Kollokvium","2022/23/1","2022","2023","fall"
"IML5022miG","Diplomamunka készítése II. gy.","Gyakorlati jegy","2021/22/1","2021","2022","fall"
"KBN094G-00004","Szakdolgozat (Molekuláris bionika BSc)","Gyakorlati jegy","2021/22/1","2021","2022","fall"
