Tárgykód,Tárgy neve,Követelmény,Típus,Félév,Kurzus,,,,,,,,,,,,,,,,
IMEN3001,Thesis Work 2.,Gyakorlati jegy,O,2021/22/2,Nem,,,,,,,,,,,,,,,,175
KBN094G-00004,Szakdolgozat (Molekuláris bionika BSc),Gyakorlati jegy,O,2021/22/2,Nem,,,,,,,,,,,,,,,,176
IMEN3000,Thesis Work 1.,Gyakorlati jegy,O,2021/22/2,Nem,,,,,,,,,,,,,,,,177
IMEN501,Thesis work 1.,Gyakorlati jegy,O,2021/22/2,Nem,,,,,,,,,,,,,,,,178
IB3000G,Szakdolgozat készítése 1.,Gyakorlati jegy,O,2021/22/2,Nem,,,,,,,,,,,,,,,,179
IB980,Szakdolgozat készítése 1. BSc (mi),Gyakorlati jegy,O,2020/21/2,Nem,,,,,,,,,,,,,,,,180
IMEN501,Thesis work 1.,Gyakorlati jegy,O,2020/21/2,Nem,,,,,,,,,,,,,,,,181
KBN094G-00004,Szakdolgozat (Molekuláris bionika BSc),Gyakorlati jegy,O,2020/21/2,Nem,,,,,,,,,,,,,,,,182
IB901ui,Szakdolgozat készítése 2.,Gyakorlati jegy,O,2021/22/1,Nem,,,,,,,,,,,,,,,,183
IB985,Szakdolgozat készítése 2. BSc (mi),Gyakorlati jegy,O,2021/22/1,Nem,,,,,,,,,,,,,,,,184
IB985-00001,Szakdolgozat és Diplomamunka II.,Gyakorlati jegy,O,2021/22/1,Nem,,,,,,,,,,,,,,,,185
IB370G,Szkriptnyelvek gyak.,Gyakorlati jegy,O,2020/21/1,Nem,,,,,,,,,,,,,,,,186
IMN5022miG,Szakdolgozat és Diplomamunka II.,Gyakorlati jegy,O,2020/21/2,Nem,,,,,,,,,,,,,,,,187
ITN9992G,Szakdolgozat,Gyakorlati jegy,O,2020/21/2,Nem,,,,,,,,,,,,,,,,188
IB611uiG,Rendszerfejlesztés II.,Gyakorlati jegy,O,2020/21/2,Nem,,,,,,,,,,,,,,,,189
IMEN3000,Thesis Work 1.,Gyakorlati jegy,O,2021/22/1,Nem,,,,,,,,,,,,,,,,190
IB900ui,Szakdolgozat készítése 1.,Gyakorlati jegy,O,2021/22/1,Nem,,,,,,,,,,,,,,,,191
IB980,Szakdolgozat készítése 1. BSc (mi),Gyakorlati jegy,O,2021/22/1,Nem,,,,,,,,,,,,,,,,192
IB950,Szakdolgozat készítés 1. (pti2),Gyakorlati jegy,O,2021/22/1,Nem,,,,,,,,,,,,,,,,193
IML311L,L Operációs rendszerek az iskolában lab. gyak.,Gyakorlati jegy,O,2020/21/2,Nem,,,,,,,,,,,,,,,,194
ITN106G,Szkriptnyelvek gyak.,Gyakorlati jegy,O,2019/20/1,Nem,,,,,,,,,,,,,,,,195
IMN311L,Operációs rendszerek az iskolában gyak,Gyakorlati jegy,O,2018/19/2,Nem,,,,,,,,,,,,,,,,196
ITN311MKE,Operációs rendszerek az iskolában,Kollokvium,O,2019/20/2,Nem,,,,,,,,,,,,,,,,197
IML311E-00002,L Operációs rendszerek az iskolában ea.,Kollokvium,O,2019/20/2,Nem,,,,,,,,,,,,,,,,198
ITL311MKE,Operációs rendszerek az iskolában,Kollokvium,O,2021/22/2,Nem,,,,,,,,,,,,,,,,199
IB901ui,Szakdolgozat készítése 2.,Gyakorlati jegy,O,2021/22/2,Nem,,,,,,,,,,,,,,,,200
IB901vm,Szakdolgozat készítése 2.,Gyakorlati jegy,O,2021/22/2,Nem,,,,,,,,,,,,,,,,201
IBML3001,Diplomamunka készítése II.,Gyakorlati jegy,O,2021/22/2,Nem,,,,,,,,,,,,,,,,202
IMN5022miG,Szakdolgozat és Diplomamunka II.,Gyakorlati jegy,O,2021/22/2,Nem,,,,,,,,,,,,,,,,203
IB3001G,Szakdolgozat készítése 2.,Gyakorlati jegy,O,2021/22/2,Nem,,,,,,,,,,,,,,,,204
IMN552G-00001,Diplomamunka készítése II. (GI),Gyakorlati jegy,O,2021/22/2,Nem,,,,,,,,,,,,,,,,205
IB985g-00001,Szakdolgozat készítése 2. BSc (mi),Gyakorlati jegy,O,2021/22/2,Nem,,,,,,,,,,,,,,,,206
IMN501,Szakdolgozat és Diplomamunka I.,Gyakorlati jegy,O,2021/22/2,Nem,,,,,,,,,,,,,,,,207
IB980g,Szakdolgozat készítése 1. BSc (mi),Gyakorlati jegy,O,2021/22/2,Nem,,,,,,,,,,,,,,,,208
IML311L,L Operációs rendszerek az iskolában lab. gyak.,Gyakorlati jegy,O,2021/22/2,Nem,,,,,,,,,,,,,,,,209
